question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty,track,week_number,chapter_tag
"Muscles of mastication are derived from which branchial arch?","First branchial arch","Second","Third","Fourth",a,"ES: ¿Los músculos de la masticación derivan de cuál arco branquial? A. Primer arco branquial B. Segundo C. Tercero D. Cuarto. Respuesta correcta: A - Primer arco branquial.",medium,nbdhe,1,Histology
"When the endoplasmic reticulum modifies new protein, it sends the new proteins to...","Nucleus","Cytoplasm","Golgi complex","Mitochondria",c,"ES: Cuando el retículo endoplásmico modifica una proteína nueva, envía las proteínas nuevas a... A. Núcleo B. Citoplasma C. Complejo de Golgi D. Mitocondrias. Respuesta correcta: C - Complejo de Golgi.",medium,nbdhe,1,Histology
"The urinary bladder is lined with which type of cells?","Simple squamous","Simple columnar","Stratified cuboidal","Transitional pseudostratified columnar",d,"ES: ¿La vejiga urinaria está revestida por qué tipo de células? A. Epitelio escamoso simple B. Epitelio cilíndrico simple C. Epitelio cuboidal estratificado D. Epitelio de transición pseudoestratificado cilíndrico. Respuesta correcta: D - Epitelio de transición pseudoestratificado cilíndrico.",medium,nbdhe,1,Histology
"Some substances require energy to cross a cell membrane. Other substances give off energy when they cross the membrane. Which of the following items indicates a movement that requires energy to move molecules across the membrane?","Active transport","Osmosis","Facilitated diffusion","Action potential",a,"ES: Algunas sustancias requieren energía para cruzar la membrana celular. Otras sustancias liberan energía al cruzar la membrana. ¿Cuál de las siguientes opciones indica un movimiento que requiere energía para mover moléculas a través de la membrana? A. Transporte activo B. Ósmosis C. Difusión facilitada D. Potencial de acción. Respuesta correcta: A - Transporte activo.",medium,nbdhe,1,Histology
"Blood cells that aid in blood coagulation are","Neutrophils","Erythrocytes","Eosinophils","Thrombocytes",d,"ES: Las células sanguíneas que ayudan en la coagulación de la sangre son A. Neutrófilos B. Eritrocitos C. Eosinófilos D. Trombocitos (plaquetas). Respuesta correcta: D - Trombocitos (plaquetas).",medium,nbdhe,1,Histology
"In compact bone, which of the following canals is the central vascular canal supplying osteons with nutrients?","Lamellae","Haversian canals","Volkmann's canals","Howship's Lacuna",b,"ES: En el hueso compacto, ¿cuál de los siguientes conductos es el conducto vascular central que suministra nutrientes a las osteonas? A. Laminillas B. Conductos de Havers C. Conductos de Volkmann D. Laguna de Howship. Respuesta correcta: B - Conductos de Havers.",medium,nbdhe,1,Histology
"Which type of cartilage covers articulating surfaces of bone?","Cricoid cartilage","Elastic cartilage","Fibrocartilage","Hyaline cartilage",d,"ES: ¿Qué tipo de cartílago cubre las superficies articulares del hueso? A. Cartílago cricoides B. Cartílago elástico C. Fibrocartílago D. Cartílago hialino. Respuesta correcta: D - Cartílago hialino.",medium,nbdhe,1,Histology
"Hertwig's sheath determines the","Shape of the crown","Shape of the root","Length of the root","Size of the crown",b,"ES: La vaina de Hertwig determina A. La forma de la corona B. La forma de la raíz C. La longitud de la raíz D. El tamaño de la corona. Respuesta correcta: B - La forma de la raíz.",medium,nbdhe,1,Histology
"Which of the following blood types is the universal donor?","O","A","B","AB",a,"ES: ¿Cuál de los siguientes tipos de sangre es el donante universal? A. O B. A C. B D. AB. Respuesta correcta: A - O.",medium,nbdhe,1,Histology
"Which of the following structures connects epithelium to the basement membrane?","Rete ridges","Hemidesmosomes","Lamina propria","Prickle cells",b,"ES: ¿Cuál de las siguientes estructuras conecta el epitelio con la membrana basal? A. Crestas epiteliales B. Hemidesmosomas C. Lámina propia D. Células espinosas. Respuesta correcta: B - Hemidesmosomas.",medium,nbdhe,1,Histology
"At which week in utero do the tonsils develop from mesenchyme?","Six weeks","8","10","12",b,"ES: ¿En qué semana del desarrollo intrauterino se desarrollan las amígdalas a partir del mesénquima? A. Seis semanas B. 8 C. 10 D. 12. Respuesta correcta: B - 8 semanas.",medium,nbdhe,1,Histology
"The human nucleus contains how many chromosomes?","23","36","46","48",c,"ES: ¿Cuántos cromosomas contiene el núcleo humano? A. 23 B. 36 C. 46 D. 48. Respuesta correcta: C - 46.",medium,nbdhe,1,Histology
"Which of the following holds the master plan of the genetic code?","Messenger RNA","Transfer RNA","Ribosomal RNA","DNA",d,"ES: ¿Cuál de los siguientes contiene el plan maestro del código genético? A. ARN mensajero B. ARN de transferencia C. ARN ribosómico D. ADN. Respuesta correcta: D - ADN.",medium,nbdhe,1,Histology
